state,1990,2000
 California,29760021,33871648
 Texas,16986510,20851820
 New York,17990455,18976457
 Florida,12937926,15982378
 Illinois,11430602,12419293
 Pennsylvania,11881643,12281054
 Ohio,10847115,11353140
 Michigan,9295297,9938444
 New Jersey,7730188,8414350
 Georgia,6478216,8186453
 North Carolina,6628637,8049313
 Virginia,6187358,7078515
 Massachusetts,6016425,6349097
 Indiana,5544159,6080485
 Washington,4866692,5894121
 Tennessee,4877185,5689283
 Missouri,5117073,5595211
 Wisconsin,4891769,5363675
 Maryland,4781468,5296486
 Arizona,3665228,5130632
 Minnesota,4375099,4919479
 Louisiana,4219973,4468976
 Alabama,4040587,4447100
 Colorado,3294394,4301261
 Kentucky,3685296,4041769
 South Carolina,3486703,4012012
 Oklahoma,3145585,3450654
 Oregon,2842321,3421399
 Connecticut,3287116,3405565
 Iowa,2776755,2926324
 Mississippi,2573216,2844658
 Kansas,2477574,2688418
 Arkansas,2350725,2673400
 Utah,1722850,2233169
 Nevada,1201833,1998257
 New Mexico,1515069,1819046
 West Virginia,1793477,1808344
 Nebraska,1578385,1711263
 Idaho,1006749,1293953
 Maine,1227928,1274923
 New Hampshire,1109252,1235786
 Hawaii,1108229,1211537
 Rhode Island,1003464,1048319
 Montana,799065,902195
 Delaware,666168,783600
 South Dakota,696004,754844
 North Dakota,638800,642200
 Alaska,550043,626932
 Vermont,562758,608827
 District of Columbia,606900,572059
 Wyoming,453588,493782