gender,grade,age,district_type,top_goal,grades_rank,sports_rank,looks_rank,money_rank
boy,5,11,rural,sports,1,2,4,3
boy,5,10,rural,popular,2,1,4,3
girl,5,11,rural,popular,4,3,1,2
girl,5,11,rural,popular,2,3,4,1
girl,5,10,rural,popular,4,2,1,3
girl,5,11,rural,popular,4,2,1,3
girl,5,10,rural,popular,3,4,1,2
girl,5,10,rural,grades,3,4,2,1
girl,5,10,rural,sports,3,2,1,4
girl,5,10,rural,sports,4,3,2,1
girl,5,11,rural,sports,2,3,1,4
girl,4,10,rural,grades,2,3,4,1
boy,4,9,rural,popular,2,3,4,1
boy,4,9,rural,popular,4,2,3,1
boy,4,9,rural,popular,4,3,2,1
girl,4,9,rural,grades,1,3,2,4
girl,4,9,rural,sports,3,1,2,4
girl,4,9,rural,popular,3,4,1,2
girl,4,9,rural,grades,2,3,1,4
girl,4,9,rural,sports,3,2,1,4
girl,4,9,rural,popular,4,3,1,2
girl,4,9,suburban,grades,1,4,2,3
girl,4,9,suburban,popular,4,2,1,3
girl,4,9,suburban,grades,4,3,2,1
girl,4,7,suburban,grades,1,2,3,4
girl,4,9,suburban,popular,2,3,1,4
girl,4,10,suburban,popular,2,3,1,4
girl,4,9,suburban,grades,4,2,1,3
girl,4,10,suburban,popular,2,3,4,1
boy,4,10,suburban,grades,1,2,4,3
boy,4,10,suburban,grades,2,4,3,1
boy,4,9,suburban,grades,1,2,4,3
boy,4,9,suburban,grades,3,1,2,4
boy,4,10,suburban,grades,2,1,3,4
boy,4,11,suburban,sports,3,1,2,4
boy,4,9,suburban,sports,4,3,2,1
boy,4,10,suburban,popular,3,2,1,4
boy,4,10,suburban,sports,3,1,4,2
boy,4,10,suburban,grades,2,3,1,4
boy,4,9,suburban,sports,4,1,3,2
boy,4,9,suburban,grades,2,1,3,4
boy,4,10,suburban,grades,2,1,4,3
boy,4,9,suburban,popular,3,2,4,1
boy,5,11,suburban,grades,2,1,3,4
boy,5,11,suburban,popular,2,1,4,3
boy,5,11,suburban,grades,4,1,2,3
boy,5,11,suburban,popular,4,3,1,2
boy,5,11,suburban,sports,4,2,1,3
boy,5,11,suburban,grades,2,1,3,4
boy,5,11,suburban,popular,3,2,1,4
boy,5,10,suburban,grades,2,1,3,4
boy,5,11,suburban,sports,4,1,2,3
boy,5,11,suburban,sports,3,1,2,4
boy,5,10,suburban,popular,3,2,1,4
boy,5,10,suburban,sports,4,1,3,2
boy,5,10,suburban,sports,4,1,3,2
boy,5,11,suburban,grades,2,1,3,4
boy,5,11,suburban,grades,1,2,4,3
boy,5,10,suburban,grades,2,3,1,4
boy,5,11,suburban,grades,2,1,3,4
boy,5,10,suburban,grades,2,1,3,4
boy,5,10,suburban,popular,4,1,2,3
boy,5,11,suburban,grades,3,1,2,4
boy,5,10,suburban,grades,3,4,1,2
boy,5,10,suburban,grades,2,1,3,4
boy,5,10,suburban,grades,2,1,4,3
boy,5,10,suburban,grades,3,1,2,4
boy,5,11,suburban,popular,4,2,1,3
boy,5,10,suburban,grades,1,3,2,4
boy,5,10,suburban,grades,2,1,4,3
boy,5,10,suburban,popular,4,2,1,3
girl,5,9,suburban,popular,2,3,1,4
girl,5,11,suburban,grades,3,2,1,4
girl,5,12,suburban,grades,2,3,1,4
girl,5,10,suburban,grades,3,4,1,2
girl,5,11,suburban,grades,2,4,1,3
girl,5,11,suburban,grades,2,1,4,3
girl,5,10,suburban,grades,2,3,1,4
girl,5,10,suburban,grades,1,2,3,4
girl,5,12,suburban,popular,3,4,1,2
girl,5,11,suburban,grades,1,4,2,3
girl,5,11,suburban,grades,3,4,1,2
girl,5,10,suburban,grades,3,1,2,4
girl,5,10,suburban,grades,2,1,4,3
girl,5,10,suburban,popular,2,3,1,4
girl,5,10,suburban,popular,3,2,1,4
girl,5,10,suburban,grades,1,3,2,4
girl,5,11,suburban,sports,1,3,2,4
girl,6,11,suburban,popular,2,3,1,4
girl,6,11,suburban,popular,1,3,2,4
girl,6,11,suburban,popular,1,3,4,2
girl,6,11,suburban,grades,4,1,2,3
girl,6,11,suburban,sports,1,2,3,4
girl,6,11,suburban,grades,3,4,1,2
girl,6,11,suburban,popular,1,2,3,4
girl,6,13,suburban,grades,2,4,1,3
girl,6,11,suburban,popular,4,2,1,3
girl,6,11,suburban,popular,4,3,1,2
girl,6,11,suburban,popular,3,4,1,2
girl,6,12,suburban,grades,2,3,1,4
girl,6,11,suburban,grades,4,3,1,2
girl,6,11,suburban,popular,4,3,1,2
girl,6,11,suburban,grades,3,2,1,4
girl,6,11,suburban,grades,4,3,1,2
girl,6,11,suburban,grades,4,1,2,3
girl,6,11,suburban,sports,3,1,2,4
girl,6,11,suburban,grades,4,3,2,1
girl,6,11,suburban,popular,1,2,3,4
girl,6,12,suburban,grades,3,1,2,4
girl,6,11,suburban,popular,4,3,1,2
girl,6,12,suburban,popular,2,3,1,4
girl,6,11,suburban,popular,2,1,3,4
girl,6,11,suburban,grades,2,3,1,4
girl,6,11,suburban,popular,4,3,1,2
girl,6,11,suburban,grades,3,2,1,4
girl,6,11,suburban,grades,4,2,1,3
girl,6,11,suburban,grades,3,4,1,2
girl,6,11,suburban,grades,4,3,1,2
girl,6,12,suburban,sports,4,3,2,1
girl,6,11,suburban,popular,1,3,2,4
girl,6,11,suburban,grades,4,2,1,3
girl,6,11,suburban,grades,4,3,1,2
girl,6,12,suburban,grades,3,2,1,4
girl,6,12,suburban,grades,4,2,1,3
girl,6,11,suburban,grades,4,2,1,3
boy,6,11,suburban,popular,3,1,2,4
boy,6,12,suburban,grades,3,1,2,4
boy,6,11,suburban,popular,3,2,1,4
boy,6,11,suburban,popular,4,2,1,3
boy,6,12,suburban,grades,4,1,2,3
boy,6,12,suburban,grades,1,3,4,2
boy,6,11,suburban,popular,3,1,2,4
boy,6,12,suburban,grades,1,2,3,4
boy,6,12,suburban,grades,2,1,3,4
boy,6,12,suburban,popular,4,3,1,2
boy,6,12,suburban,grades,4,1,2,3
boy,6,11,suburban,sports,3,1,2,4
boy,6,11,suburban,grades,4,1,2,3
boy,6,11,suburban,sports,2,1,4,3
boy,6,12,suburban,grades,2,1,4,3
boy,6,11,suburban,grades,2,1,4,3
boy,6,11,suburban,grades,4,1,2,3
boy,6,12,suburban,grades,4,1,2,3
boy,6,11,suburban,grades,4,1,2,3
boy,6,11,suburban,sports,2,3,1,4
boy,6,11,suburban,popular,3,1,2,4
boy,6,12,suburban,grades,3,1,2,4
boy,6,12,suburban,popular,3,1,2,4
boy,6,11,suburban,grades,3,1,2,4
boy,6,12,suburban,popular,2,1,4,3
boy,6,11,suburban,grades,1,2,3,4
boy,6,12,suburban,grades,2,1,4,3
boy,6,11,suburban,grades,1,2,3,4
boy,6,12,suburban,sports,2,1,3,4
boy,6,11,suburban,sports,2,1,3,4
boy,6,11,suburban,grades,4,1,3,2
boy,5,11,suburban,popular,3,2,1,4
boy,6,11,suburban,grades,3,2,1,4
boy,6,11,suburban,popular,3,1,4,2
boy,6,11,suburban,grades,1,2,3,4
boy,6,12,suburban,sports,2,3,1,4
boy,6,11,suburban,grades,1,2,3,4
boy,6,12,suburban,grades,2,1,3,4
boy,6,11,suburban,grades,4,3,2,1
boy,6,12,suburban,popular,4,1,2,3
boy,6,12,suburban,grades,4,1,2,3
boy,6,12,suburban,grades,4,3,1,2
boy,6,12,suburban,sports,1,2,3,4
boy,6,13,suburban,sports,1,2,4,3
boy,6,11,suburban,grades,2,1,3,4
boy,6,12,suburban,sports,3,1,2,4
boy,6,12,suburban,grades,1,2,3,4
girl,4,9,rural,grades,1,3,2,4
girl,4,9,rural,grades,1,3,2,4
girl,4,9,rural,popular,1,4,3,2
girl,4,9,rural,popular,2,4,1,3
girl,4,9,rural,sports,1,2,3,4
girl,4,9,rural,popular,3,4,1,2
girl,4,9,rural,sports,2,3,1,4
girl,4,9,rural,grades,1,4,2,3
girl,4,9,rural,sports,3,2,1,4
girl,4,9,rural,sports,2,1,3,4
girl,4,9,rural,popular,2,3,1,4
girl,4,9,rural,popular,4,2,1,3
girl,4,10,rural,grades,1,2,3,4
boy,4,9,rural,grades,3,4,2,1
boy,4,10,rural,grades,2,1,3,4
boy,4,9,rural,grades,1,2,3,4
boy,4,9,rural,popular,2,3,1,4
boy,4,10,rural,sports,4,1,2,3
boy,4,9,rural,popular,1,2,4,3
boy,4,9,rural,sports,2,1,4,3
boy,4,9,rural,popular,4,3,1,2
boy,4,9,rural,popular,3,4,1,2
boy,4,9,rural,grades,1,3,2,4
boy,5,10,rural,grades,1,3,2,4
boy,5,10,rural,sports,3,1,2,4
boy,5,10,rural,sports,4,2,1,3
boy,5,11,rural,sports,2,3,4,1
boy,5,10,rural,popular,1,4,3,2
boy,5,11,rural,grades,1,2,4,3
boy,5,11,rural,popular,3,2,1,4
boy,5,10,rural,sports,1,2,4,3
boy,5,10,rural,sports,2,1,3,4
boy,5,10,rural,sports,3,1,2,4
boy,5,11,rural,popular,4,1,2,3
boy,5,10,rural,grades,3,1,2,4
boy,5,10,rural,popular,4,2,1,3
girl,5,10,rural,sports,3,1,2,4
girl,5,10,rural,grades,3,2,1,4
girl,5,10,rural,popular,2,3,1,4
girl,5,10,rural,popular,3,2,1,4
girl,5,11,rural,sports,4,2,1,3
girl,5,10,rural,grades,1,2,4,3
girl,5,11,rural,popular,4,2,1,3
girl,5,11,rural,grades,1,3,4,2
girl,5,10,rural,popular,4,3,1,2
girl,5,10,rural,popular,1,2,3,4
girl,5,11,rural,grades,1,3,2,4
girl,5,10,rural,grades,1,2,3,4
boy,5,12,rural,sports,2,1,3,4
boy,5,10,rural,popular,4,3,1,2
boy,5,10,rural,popular,2,1,3,4
boy,5,10,rural,sports,4,1,2,3
boy,5,10,rural,sports,2,1,4,3
boy,5,10,rural,sports,3,1,4,2
boy,5,11,rural,grades,4,2,3,1
boy,5,10,rural,grades,2,1,3,4
boy,5,10,rural,grades,1,2,4,3
girl,5,10,rural,popular,2,3,1,4
girl,5,10,rural,popular,3,2,1,4
girl,5,10,rural,popular,1,3,2,4
girl,5,11,rural,grades,2,4,1,3
girl,5,10,rural,grades,1,2,3,4
girl,5,10,rural,grades,2,4,3,1
girl,5,10,rural,popular,3,2,1,4
girl,5,10,rural,grades,2,4,1,3
boy,4,9,rural,grades,3,1,2,4
boy,4,10,rural,grades,3,1,4,2
boy,4,10,rural,grades,1,3,2,4
girl,4,9,rural,grades,2,1,3,4
girl,4,9,rural,grades,1,3,2,4
girl,4,9,rural,grades,3,4,1,2
girl,4,10,rural,popular,2,1,3,4
girl,4,9,rural,grades,1,3,2,4
girl,4,9,rural,sports,3,2,1,4
girl,4,9,rural,sports,3,2,1,4
girl,4,9,rural,grades,2,1,3,4
girl,6,12,rural,popular,4,2,1,3
girl,6,11,rural,popular,3,4,1,2
girl,6,11,rural,grades,4,2,1,3
girl,6,11,rural,grades,4,2,1,3
girl,6,11,rural,grades,1,3,2,4
girl,6,12,rural,grades,4,3,1,2
girl,6,12,rural,grades,3,2,1,4
girl,6,11,rural,popular,1,2,3,4
girl,6,11,rural,sports,4,1,3,2
girl,6,12,rural,grades,4,3,1,2
girl,6,11,rural,popular,2,1,3,4
girl,6,11,rural,popular,3,2,1,4
girl,6,11,rural,grades,1,3,4,2
girl,6,11,rural,popular,3,1,2,4
girl,6,11,rural,popular,1,2,3,4
girl,6,11,rural,popular,4,2,1,3
girl,6,12,rural,grades,4,2,1,3
girl,6,11,rural,grades,2,3,1,4
girl,6,11,rural,grades,2,3,1,4
girl,6,11,rural,grades,1,4,2,3
girl,6,11,rural,popular,4,2,1,3
girl,6,12,rural,grades,3,1,2,4
girl,6,11,rural,grades,4,2,1,3
girl,6,12,rural,sports,2,1,3,4
girl,6,11,rural,sports,2,4,1,3
girl,6,11,rural,grades,4,2,1,3
boy,6,12,rural,sports,4,3,1,2
boy,6,13,rural,sports,4,1,2,3
boy,6,11,rural,sports,3,1,2,4
boy,6,11,rural,sports,4,2,1,3
boy,6,12,rural,popular,4,2,3,1
boy,6,11,rural,sports,2,1,3,4
boy,6,12,rural,sports,3,1,2,4
boy,6,11,rural,grades,4,1,2,3
boy,6,12,rural,grades,4,2,1,3
boy,6,11,rural,sports,4,1,2,3
boy,6,12,rural,popular,2,3,4,1
boy,6,11,rural,grades,3,2,1,4
boy,6,11,rural,grades,2,1,3,4
boy,6,12,rural,sports,3,1,2,4
boy,6,11,rural,grades,3,1,4,2
boy,6,11,rural,grades,4,1,2,3
boy,6,12,rural,popular,4,3,2,1
boy,6,12,rural,sports,3,1,2,4
boy,6,11,rural,grades,1,2,3,4
boy,6,12,rural,sports,4,1,2,3
boy,6,11,rural,popular,4,2,1,3
boy,6,13,rural,sports,4,2,1,3
boy,6,11,rural,grades,4,3,1,2
boy,6,11,rural,sports,3,1,4,2
boy,6,11,rural,popular,4,2,1,3
boy,6,11,rural,sports,3,1,4,2
girl,4,9,urban,grades,1,2,3,4
girl,4,9,urban,popular,4,3,1,2
girl,4,9,urban,grades,1,3,2,4
girl,4,9,urban,sports,4,1,2,3
girl,4,9,urban,grades,2,1,3,4
girl,4,9,urban,grades,2,4,1,3
girl,4,10,urban,grades,3,2,1,4
girl,4,10,urban,grades,3,2,1,4
girl,4,9,urban,grades,1,2,3,4
girl,4,9,urban,popular,2,1,3,4
girl,4,9,urban,sports,1,3,2,4
girl,4,9,urban,grades,1,2,3,4
girl,4,9,urban,grades,1,2,3,4
girl,4,9,urban,grades,4,3,1,2
girl,4,9,urban,grades,1,2,4,3
boy,4,9,urban,grades,3,1,2,4
boy,4,9,urban,popular,1,3,2,4
boy,4,9,urban,grades,3,1,4,2
boy,4,9,urban,sports,1,2,4,3
boy,4,9,urban,grades,3,1,2,4
boy,4,9,urban,sports,2,1,4,3
boy,4,9,urban,sports,2,3,1,4
boy,4,9,urban,grades,2,1,4,3
boy,4,9,urban,grades,4,1,3,2
boy,4,10,urban,grades,2,1,4,3
boy,4,9,urban,grades,2,1,3,4
girl,5,10,urban,grades,4,2,1,3
girl,5,10,urban,grades,1,2,3,4
girl,5,11,urban,grades,2,1,4,3
girl,5,10,urban,grades,4,3,1,2
girl,5,10,urban,popular,3,2,1,4
girl,5,10,urban,popular,2,4,1,3
girl,5,11,urban,grades,1,2,3,4
girl,5,10,urban,grades,1,2,3,4
girl,5,10,urban,popular,4,1,2,3
girl,5,11,urban,sports,2,1,4,3
girl,5,10,urban,grades,1,2,4,3
girl,5,10,urban,grades,4,3,2,1
girl,5,10,urban,popular,1,4,2,3
girl,5,10,urban,grades,4,1,2,3
girl,5,10,urban,popular,2,3,1,4
girl,5,10,urban,popular,4,3,2,1
girl,5,10,urban,popular,2,1,3,4
girl,5,10,urban,grades,1,2,4,3
girl,5,10,urban,grades,1,3,2,4
girl,5,10,urban,grades,2,4,3,1
girl,5,10,urban,grades,1,2,3,4
boy,5,10,urban,grades,1,2,3,4
boy,5,11,urban,sports,3,1,2,4
boy,5,10,urban,grades,2,1,4,3
boy,5,11,urban,grades,1,4,2,3
boy,5,10,urban,grades,2,1,4,3
boy,5,10,urban,grades,1,2,4,3
boy,5,10,urban,grades,2,1,3,4
boy,5,10,urban,sports,2,1,3,4
boy,5,11,urban,grades,2,1,4,3
boy,5,9,urban,grades,2,1,3,4
boy,5,10,urban,grades,3,4,2,1
boy,5,10,urban,grades,1,2,3,4
boy,5,10,urban,grades,2,1,3,4
boy,5,10,urban,sports,2,1,4,3
boy,5,11,urban,popular,3,1,2,4
boy,5,11,urban,grades,1,2,3,4
boy,5,11,urban,popular,3,1,2,4
boy,5,9,urban,grades,3,1,4,2
boy,5,11,urban,sports,2,1,3,4
boy,5,10,urban,sports,2,1,3,4
girl,5,10,urban,grades,3,2,1,4
girl,4,9,urban,sports,4,3,1,2
boy,4,9,urban,sports,3,2,1,4
boy,4,9,urban,grades,4,3,1,2
boy,4,9,urban,grades,1,2,3,4
girl,4,9,urban,grades,1,2,3,4
girl,4,10,urban,grades,3,1,2,4
girl,4,9,urban,grades,1,3,2,4
girl,4,9,urban,popular,2,3,1,4
boy,4,9,urban,popular,4,1,2,3
boy,4,9,urban,popular,3,1,2,4
boy,4,9,urban,grades,1,3,2,4
boy,5,10,urban,grades,1,2,4,3
boy,5,11,urban,grades,1,3,2,4
boy,5,10,urban,grades,2,1,3,4
boy,5,11,urban,popular,3,2,1,4
boy,5,10,urban,grades,2,4,1,3
boy,5,10,urban,grades,3,1,4,2
boy,5,11,urban,grades,1,2,3,4
girl,5,10,urban,grades,1,3,2,4
girl,5,10,urban,popular,3,2,1,4
girl,5,10,urban,grades,1,2,3,4
girl,5,10,urban,popular,2,4,1,3
girl,5,10,urban,popular,3,1,2,4
girl,5,10,urban,grades,1,2,3,4
girl,5,11,urban,popular,3,1,2,4
girl,5,10,urban,popular,2,3,1,4
girl,5,10,urban,grades,3,1,2,4
girl,5,10,urban,grades,1,3,2,4
girl,5,10,urban,grades,2,1,3,4
boy,5,10,urban,sports,3,1,4,2
boy,5,11,urban,sports,3,1,2,4
boy,5,10,urban,grades,3,2,1,4
boy,5,10,urban,sports,3,1,2,4
boy,5,11,urban,grades,4,1,3,2
boy,5,10,urban,popular,4,3,1,2
girl,5,10,urban,grades,2,1,3,4
girl,5,11,urban,popular,2,4,1,3
girl,5,10,urban,popular,3,2,1,4
girl,5,11,urban,sports,3,2,1,4
girl,5,11,urban,popular,2,4,1,3
girl,5,11,urban,grades,2,4,1,3
girl,5,10,urban,popular,3,2,1,4
girl,5,10,urban,sports,3,2,1,4
girl,5,11,urban,popular,4,3,1,2
girl,5,10,urban,popular,3,2,1,4
boy,4,9,urban,sports,3,2,4,1
boy,4,9,urban,sports,3,2,4,1
boy,4,9,urban,grades,4,3,2,1
boy,4,9,urban,grades,1,4,3,2
girl,4,9,urban,sports,2,4,1,3
girl,4,9,urban,grades,2,4,1,3
girl,4,9,urban,sports,1,3,4,2
girl,4,9,urban,popular,4,3,1,2
girl,4,9,urban,grades,3,2,1,4
boy,4,9,urban,grades,2,1,4,3
boy,4,9,urban,grades,1,2,3,4
boy,4,9,urban,popular,3,1,2,4
girl,4,9,urban,grades,4,3,2,1
girl,4,9,urban,popular,4,2,3,1
girl,4,9,urban,grades,3,2,1,4
girl,4,9,urban,popular,3,2,1,4
girl,6,11,urban,popular,3,2,1,4
girl,6,11,urban,popular,4,3,2,1
girl,6,11,urban,popular,3,1,2,4
girl,6,11,urban,popular,4,2,1,3
girl,6,11,urban,grades,4,2,1,3
girl,6,11,urban,popular,4,2,1,3
girl,6,11,urban,popular,4,1,2,3
girl,6,11,urban,grades,3,2,1,4
girl,6,11,urban,grades,2,3,1,4
girl,6,11,urban,grades,4,3,1,2
girl,6,11,urban,grades,3,2,1,4
girl,6,11,urban,popular,3,2,1,4
girl,6,11,urban,grades,4,2,1,3
girl,6,11,urban,popular,3,1,2,4
girl,6,12,urban,popular,2,4,3,1
girl,6,11,urban,grades,4,3,1,2
girl,6,11,urban,grades,2,3,1,4
girl,6,11,urban,popular,3,2,1,4
girl,6,11,urban,popular,2,3,4,1
girl,6,12,urban,grades,2,1,3,4
girl,6,11,urban,grades,4,2,1,3
girl,5,11,urban,grades,3,2,1,4
girl,6,11,urban,grades,2,3,1,4
girl,6,11,urban,sports,4,1,2,3
girl,6,11,urban,grades,4,3,1,2
girl,6,11,urban,grades,3,4,1,2
girl,6,11,urban,popular,4,2,1,3
girl,6,11,urban,popular,3,4,1,2
girl,6,11,urban,grades,3,4,1,2
girl,6,11,urban,grades,3,2,1,4
girl,6,11,urban,grades,3,2,1,4
girl,6,11,urban,popular,4,3,1,2
girl,6,11,urban,sports,3,2,1,4
girl,6,11,urban,grades,4,2,1,3
boy,6,12,urban,grades,3,1,2,4
boy,6,11,urban,sports,3,2,1,4
boy,6,11,urban,grades,3,1,2,4
boy,6,11,urban,grades,1,2,3,4
boy,6,12,urban,grades,3,1,2,4
boy,6,11,urban,grades,2,1,3,4
boy,6,11,urban,popular,3,1,2,4
boy,6,12,urban,grades,3,1,2,4
boy,6,11,urban,grades,4,2,1,3
boy,6,11,urban,grades,3,2,1,4
boy,6,11,urban,grades,4,1,2,3
boy,6,11,urban,sports,4,1,2,3
boy,6,11,urban,grades,4,2,1,3
boy,6,11,urban,popular,4,1,3,2
boy,6,11,urban,popular,4,1,2,3